Date;Heure;ID;Annee;Mois;Jour;JourSem;NumSem;vacances_zone_a;vacances_zone_b;vacances_zone_c;nb_zones;dummyJF
01/01/2020;00:00;01/01/2020 00:00;2020;1;1;mercredi;1;1;1;1;3;1
01/01/2020;03:00;01/01/2020 03:00;2020;1;1;mercredi;1;1;1;1;3;1
01/01/2020;06:00;01/01/2020 06:00;2020;1;1;mercredi;1;1;1;1;3;1
01/01/2020;09:00;01/01/2020 09:00;2020;1;1;mercredi;1;1;1;1;3;1
01/01/2020;12:00;01/01/2020 12:00;2020;1;1;mercredi;1;1;1;1;3;1
01/01/2020;15:00;01/01/2020 15:00;2020;1;1;mercredi;1;1;1;1;3;1
01/01/2020;18:00;01/01/2020 18:00;2020;1;1;mercredi;1;1;1;1;3;1
01/01/2020;21:00;01/01/2020 21:00;2020;1;1;mercredi;1;1;1;1;3;1
02/01/2020;00:00;03/01/2020 00:00;2020;1;2;jeudi;1;1;1;1;3;0
02/01/2020;03:00;03/01/2020 03:00;2020;1;2;jeudi;1;1;1;1;3;0
02/01/2020;06:00;03/01/2020 06:00;2020;1;2;jeudi;1;1;1;1;3;0
02/01/2020;09:00;03/01/2020 09:00;2020;1;2;jeudi;1;1;1;1;3;0
02/01/2020;12:00;03/01/2020 12:00;2020;1;2;jeudi;1;1;1;1;3;0
02/01/2020;15:00;03/01/2020 15:00;2020;1;2;jeudi;1;1;1;1;3;0
02/01/2020;18:00;03/01/2020 18:00;2020;1;2;jeudi;1;1;1;1;3;0
02/01/2020;21:00;03/01/2020 21:00;2020;1;2;jeudi;1;1;1;1;3;0
03/01/2020;00:00;05/01/2020 00:00;2020;1;3;vendredi;1;1;1;1;3;0
03/01/2020;03:00;05/01/2020 03:00;2020;1;3;vendredi;1;1;1;1;3;0
03/01/2020;06:00;05/01/2020 06:00;2020;1;3;vendredi;1;1;1;1;3;0
03/01/2020;09:00;05/01/2020 09:00;2020;1;3;vendredi;1;1;1;1;3;0
03/01/2020;12:00;05/01/2020 12:00;2020;1;3;vendredi;1;1;1;1;3;0
03/01/2020;15:00;05/01/2020 15:00;2020;1;3;vendredi;1;1;1;1;3;0
03/01/2020;18:00;05/01/2020 18:00;2020;1;3;vendredi;1;1;1;1;3;0
03/01/2020;21:00;05/01/2020 21:00;2020;1;3;vendredi;1;1;1;1;3;0
04/01/2020;00:00;07/01/2020 00:00;2020;1;4;samedi;1;1;1;1;3;0
04/01/2020;03:00;07/01/2020 03:00;2020;1;4;samedi;1;1;1;1;3;0
04/01/2020;06:00;07/01/2020 06:00;2020;1;4;samedi;1;1;1;1;3;0
04/01/2020;09:00;07/01/2020 09:00;2020;1;4;samedi;1;1;1;1;3;0
04/01/2020;12:00;07/01/2020 12:00;2020;1;4;samedi;1;1;1;1;3;0
04/01/2020;15:00;07/01/2020 15:00;2020;1;4;samedi;1;1;1;1;3;0
04/01/2020;18:00;07/01/2020 18:00;2020;1;4;samedi;1;1;1;1;3;0
04/01/2020;21:00;07/01/2020 21:00;2020;1;4;samedi;1;1;1;1;3;0
05/01/2020;00:00;09/01/2020 00:00;2020;1;5;dimanche;2;1;1;1;3;0
05/01/2020;03:00;09/01/2020 03:00;2020;1;5;dimanche;2;1;1;1;3;0
05/01/2020;06:00;09/01/2020 06:00;2020;1;5;dimanche;2;1;1;1;3;0
05/01/2020;09:00;09/01/2020 09:00;2020;1;5;dimanche;2;1;1;1;3;0
05/01/2020;12:00;09/01/2020 12:00;2020;1;5;dimanche;2;1;1;1;3;0
05/01/2020;15:00;09/01/2020 15:00;2020;1;5;dimanche;2;1;1;1;3;0
05/01/2020;18:00;09/01/2020 18:00;2020;1;5;dimanche;2;1;1;1;3;0
05/01/2020;21:00;09/01/2020 21:00;2020;1;5;dimanche;2;1;1;1;3;0
06/01/2020;00:00;11/01/2020 00:00;2020;1;6;lundi;2;0;0;0;0;0
06/01/2020;03:00;11/01/2020 03:00;2020;1;6;lundi;2;0;0;0;0;0
06/01/2020;06:00;11/01/2020 06:00;2020;1;6;lundi;2;0;0;0;0;0
