ID;Consommation;Annee;Mois;Jour;Creneau;JourSem;NumSem;temp;cover;hum;dummyJF;vacances_zone_a;vacances_zone_b;vacances_zone_c;nb_zones
2016-01-01-00;42493703929;2016;1;1;0;vendredi;0;6,578947368;89,27272727;91,28947368;1;1;1;1;3
2016-01-01-03;36899124761;2016;1;1;3;vendredi;0;5,813157895;87;92,52631579;1;1;1;1;3
2016-01-01-06;36106776962;2016;1;1;6;vendredi;0;5,286842105;80,51724138;93,34210526;1;1;1;1;3
2016-01-01-09;38137732346;2016;1;1;9;vendredi;0;6,339473684;88,72727273;92,68421053;1;1;1;1;3
2016-01-01-12;41003458290;2016;1;1;12;vendredi;0;9,165789474;90,39285714;84,15789474;1;1;1;1;3
2016-01-01-15;39107091939;2016;1;1;15;vendredi;0;9,831578947;93,2;80,39473684;1;1;1;1;3
2016-01-01-18;43839829880;2016;1;1;18;vendredi;0;8,971052632;97,66666667;84,84210526;1;1;1;1;3
2016-01-01-21;42847683854;2016;1;1;21;vendredi;0;8,955263158;97,29032258;85,28947368;1;1;1;1;3
2016-01-02-00;39391664388;2016;1;2;0;samedi;0;9,002631579;93,48275862;86;0;1;1;1;3
2016-01-02-03;34809041888;2016;1;2;3;samedi;0;8,989473684;96,83333333;87,97368421;0;1;1;1;3
2016-01-02-06;37189204967;2016;1;2;6;samedi;0;8,697368421;89,85294118;89,23684211;0;1;1;1;3
2016-01-02-09;42008592234;2016;1;2;9;samedi;0;9,073684211;91,81818182;87,23684211;0;1;1;1;3
2016-01-02-12;44529556828;2016;1;2;12;samedi;0;9,907894737;91,06060606;81,18421053;0;1;1;1;3
2016-01-02-15;42158072974;2016;1;2;15;samedi;0;9,55;91,71875;78,36842105;0;1;1;1;3
2016-01-02-18;46483274105;2016;1;2;18;samedi;0;8,289473684;82,41935484;82,07894737;0;1;1;1;3
2016-01-02-21;44613037832;2016;1;2;21;samedi;0;7,439473684;85,96153846;82,55263158;0;1;1;1;3
